geo_entity_id,geo_name,lon,lat
119,Lebanon,34.84308999,33.9530073
120,Liberia,-10.45602397,3.967789972
121,Libya,18.88429932,32.84611512
122,Lithuania,20.16001191,55.64664996
123,Lord Howe Isl. (Australia),159.6691618,-30.60443183
230,Macquarie Isl.,158.7814477,-54.73835734
125,Madagascar,46.84362832,-19.62696436
126,Madeira Isl. (Portugal),-16.93077123,32.87539601
127,Malaysia,108.7596745,5.101381818
128,Maldives,73.15599076,2.313196833
129,Malta,15.45500923,35.36326792
130,Marshall Isl.,166.4925267,9.825047692
131,Martinique (France),-60.16977422,15.27917672
132,Mauritania,-18.14299701,18.6132475
133,Mauritius,64.11787198,-13.04439586
134,Mayotte (France),45.08261792,-12.83465561
135,Mexico,-103.4126779,22.2483672
136,Micronesia,150.4944968,6.121071858
139,Montenegro,18.69734238,41.97928719
140,Montserrat (UK),-62.43771757,16.36492136
141,Morocco,-11.36700378,27.66310106
142,Mozambique,37.76351677,-18.89672656
143,Mozambique Channel Isl. (France),40.4325938,-20.55483253
144,Myanmar,94.51323532,15.28094506
145,Namibia,12.35852139,-23.94278944
146,Nauru,166.0895477,-0.610132149
148,Netherlands,4.873862782,53.5133046
150,New Caledonia (France),165.0722539,-20.50667319
151,New Zealand,0,-43.36934752
152,Nicaragua,-84.33104805,12.87942939
153,Nigeria,5.626442784,3.797291611
154,Niue (New Zealand),-169.1579504,-19.53444082
155,Norfolk Isl. (Australia),167.9561367,-29.16124318
156,North Marianas (USA),145.4418737,18.06169827
157,Norway,18.02617408,65.28422818
248,Ogasawara Islands (Japan),147.3841832,25.74414105
158,Oman,58.2403981,20.25083332
159,Pakistan,64.98701236,23.28885047
160,Palau,133.2421572,6.589387908
161,Palmyra Isl. & Kingman Reef (USA),-162.5652862,6.225350357
162,Panama,-80.68332747,8.75
163,Papua New Guinea,151.0015427,-6.087085323
164,Peru,-77.52588328,-11.79459653
165,Philippines,120.3358933,12.67950622
166,Pitcairn (UK),-127.2685506,-24.49570667
